iyear,imonth,iday,provstate,city,latitude,longitude,location,summary,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,motive,nperps,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nkill,nkillus,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,addnotes,scite1,scite2,scite3,dbsource
2002,5,3,Iowa,Eldridge,41.658086,-90.584582,,"05/03/2002: Between the dates of May 3-7, 2002 eighteen pipe bombs were found in rural mailboxes in five Midwestern states in the U.S.A. collectively causing seven injuries and leading to widespread panic in the region. In the set incidents that occurred on May 3, 2002, seven nearly identical bombs were found by mail carriers and residents in or near mailboxes between 10:49am and 2:30pm in eastern Iowa and western Illinois, including this one in Iowa. Six of the seven bombs detonated, injuring four mail carriers and two residents. Each of the bombs had a note in a plastic bag, which stated, ""I'm obtaining your attention in the only way I can .... more attention-getters are on the way."" On May 7, 2002, the FBI and Nevada state authorities arrested Luke Helder, a 21-year-old college student, who confessed to being responsible for all of the bombs.",1,1,0,3,Bombing/Explosion,,.,14,Private Citizens & Property,67,Unnamed Civilian/Unspecified,Civilians,Civilians in the United States Midwest,217,United States,2,Government (General),,.,U.S. Postal Service,US Mail Boxes,217,United States,,.,,.,,,,.,Unaffiliated Individual(s),The attacks were meant to bring attention to the perpetrator's antigovernment sentiment.,1,6,Explosives/Bombs/Dynamite,10,Pressure Trigger,,.,,.,,.,,.,,.,,.,The pipe bombs were assembled with steel pipes and attached to nine-volt batteries and most were accompanied by antigovernment notes. They were rigged to explode when the mailbox was opened. Only six of the seven devices rigged in this manner detonated.,0,0,0,0.875,0,1,3,Minor (likely < $1 million),,Mailboxes were damaged in the attacks.,,"?Crime: Pipe Bombs Strike Mailboxes in Midwest,? Facts on File World News Digest, May 15, 2002.","?Student, 21, Is Arrested in Nevada in 5-State Bombing Spree.? New York Times? May 8, 2002.","?More pipe bombs found in mailboxes throughout Midwest,? ABC News, May 6, 2002.",CETIS
2006,9,11,Iowa,Davenport,41.523505,-90.577549,,"09/11/2006: At approximately 4:30 a.m. local time, an individual drove his vehicle into the Edgerton Women's Health Center in Davenport, Iowa, United States, and subsequently set the vehicle on fire. David Robert McMenemy of Michigan was arrested, charged with ?arson against a business affecting interstate commerce?, and sentenced to five years in prison for committing this attack. McMenemy mistakenly thought that this facility performed abortions. No proof was revealed that McMenemy was associated with any anti-abortion group. No casualties resulted from this attack, although property damage did occur. No group claimed responsibility for the attack.",0,1,0,7,Facility/Infrastructure Attack,,.,1,Business,6,Medical/Pharmaceutical,Unknown,Edgerton Women's Health Center,217,United States,,.,,.,,,,.,,.,,.,,,,.,Unaffiliated Individual(s),McMenemy mistakenly thought that this facility performed abortions.,1,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,.,8,Incendiary,20,Gasoline or Alcohol,,.,,.,,.,,.,,0,0,0,0,0,1,3,Minor (likely < $1 million),,,,"?Man accused of ramming car into women's clinic in Davenport,? The Associated Press State & Local Wire, September 12, 2006.","?Detroit man gets 5 years for burning Davenport women's clinic,? The Associated Press State & Local Wire, June 30, 2007.",,CETIS
2015,3,20,Louisiana,New Orleans,29.984368,-90.257301,,"03/20/2015: An assailant attacked a Transportation Security Administration (TSA) checkpoint at the New Orleans airport in New Orleans city, Louisiana, United States. The assailant was killed and two TSA agents were wounded in the incident No group claimed responsibility for the attack; however, sources attributed the attack to an individual, identified as Richard White.",0,1,0,2,Armed Assault,,.,2,Government (General),18,"Government Personnel (excluding police, military)",Transportation Security Administration (TSA),Agents,217,United States,,.,,.,,,,.,,.,,.,,,,.,Unaffiliated Individual(s),,1,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,9,Melee,23,Knife or Other Sharp Object,2,Chemical,1,Poisoning,,.,,.,"Six Molotov cocktails, a machete, and insecticide were used in the attack.",1,1,2,2,0,0,,.,,,"There is doubt that this incident meets terrorism-related criteria, given that the assailant may have suffered from a mental illness.","""Assailant Shot at New Orleans Airport Had Fire Bombs, Officials Say,"" New York Times, March 21, 2015.","""Man shot and killed after attacking TSA agents with machete, bug spray,"" UPI, March 22, 2015.","""Airport Attacker Had 6 Molotov Cocktails, Officials Say,"" NBCNews.com, March 21, 2015.",START Primary Collection
2002,5,3,Illinois,Elizabeth,42.317791,-90.221517,,"05/03/2002: Between the dates of May 3-7, 2002 eighteen pipe bombs were found in rural mailboxes in five Midwestern states in the U.S.A. collectively causing seven injuries and leading to widespread panic in the region. In the set incidents that occurred on May 3, 2002, seven nearly identical bombs were found by mail carriers and residents in or near mailboxes between 10:49am and 2:30pm in eastern Iowa and western Illinois, including this one in Illinois. Six of the seven bombs detonated, injuring four mail carriers and two residents. Each of the bombs had a note in a plastic bag, which stated, ""I'm obtaining your attention in the only way I can .... more attention-getters are on the way."" On May 7, 2002, the FBI and Nevada state authorities arrested Luke Helder, a 21-year-old college student, who confessed to being responsible for all of the bombs.",1,1,0,3,Bombing/Explosion,,.,14,Private Citizens & Property,67,Unnamed Civilian/Unspecified,Civilians,Civilians in the United States Midwest,217,United States,2,Government (General),,.,U.S. Postal Service,US Mail Boxes,217,United States,,.,,.,,,,.,Unaffiliated Individual(s),The attacks were meant to bring attention to the perpetrator's antigovernment sentiment.,1,6,Explosives/Bombs/Dynamite,10,Pressure Trigger,,.,,.,,.,,.,,.,,.,The pipe bombs were assembled with steel pipes and attached to nine-volt batteries and most were accompanied by antigovernment notes. They were rigged to explode when the mailbox was opened. Only six of the seven devices rigged in this manner detonated.,0,0,0,0.875,0,1,3,Minor (likely < $1 million),,Mailboxes were damaged in the attacks.,,"?Crime: Pipe Bombs Strike Mailboxes in Midwest,? Facts on File World News Digest, May 15, 2002.","?Student, 21, Is Arrested in Nevada in 5-State Bombing Spree.? New York Times? May 8, 2002.","?More pipe bombs found in mailboxes throughout Midwest,? ABC News, May 6, 2002.",CETIS
2015,8,1,Louisiana,New Orleans,29.950112,-90.096663,,"08/01/2015: Arsonists set fire to a security guard's vehicle inside the locked gate of a construction site where a new Planned Parenthood clinic was being built in New Orleans, Louisiana, United States. No injuries resulted from the attack, but the car was damaged. No group claimed responsibility for the attack.",0,1,0,7,Facility/Infrastructure Attack,,.,5,Abortion Related,40,Clinics,"Planned Parenthood Federation of America, Inc.",Clinic Construction Site,217,United States,,.,,.,,,,.,,.,,.,,,,.,Unknown,,-99,8,Incendiary,18,Arson/Fire,,.,,.,,.,,.,,.,,.,,0,0,0,0,0,1,3,Minor (likely < $1 million),-99,A security guard vehicle was damaged in this attack.,,"""Authorities Investigating Fire At Louisiana Planned Parenthood,"" Bayou Buzz, August 4, 2015.","""NARAL Wants Attacks on Abortion Clinics Investigated as Domestic Terrorism,"" Slate Magazine, October 19, 2015.","""Planned Parenthood execs suspect arson after suspicious fire at site of new facility in New Orleans,"" Raw Story, August 4, 2015.",START Primary Collection
1996,12,18,Louisiana,New Orleans,29.951027,-90.071422,,,0,1,0,1,Assassination,,.,5,Abortion Related,41,Personnel,Orleans Women's Clinic,Dr. Calvin Jackson,217,United States,,.,,.,,,,.,,.,,.,,,,.,Unaffiliated Individual(s),,1,9,Melee,23,Knife or Other Sharp Object,,.,,.,,.,,.,,.,,.,Knife,0,,1,1,,0,,.,,,,,,,PGIS
2002,5,3,Illinois,Mount Carroll,42.095023,-89.97818,,"05/03/2002: Between the dates of May 3-7, 2002 eighteen pipe bombs were found in rural mailboxes in five Midwestern states in the U.S.A. collectively causing seven injuries and leading to widespread panic in the region. In the set incidents that occurred on May 3, 2002, seven nearly identical bombs were found by mail carriers and residents in or near mailboxes between 10:49am and 2:30pm in eastern Iowa and western Illinois, including this one in Illinois. Six of the seven bombs detonated, injuring four mail carriers and two residents. Each of the bombs had a note in a plastic bag, which stated, ""I'm obtaining your attention in the only way I can .... more attention-getters are on the way."" On May 7, 2002, the FBI and Nevada state authorities arrested Luke Helder, a 21-year-old college student, who confessed to being responsible for all of the bombs.",1,1,0,3,Bombing/Explosion,,.,14,Private Citizens & Property,67,Unnamed Civilian/Unspecified,Civilians,Civilians in the United States Midwest,217,United States,2,Government (General),,.,U.S. Postal Service,US Mail Boxes,217,United States,,.,,.,,,,.,Unaffiliated Individual(s),The attacks were meant to bring attention to the perpetrator's antigovernment sentiment.,1,6,Explosives/Bombs/Dynamite,10,Pressure Trigger,,.,,.,,.,,.,,.,,.,The pipe bombs were assembled with steel pipes and attached to nine-volt batteries and most were accompanied by antigovernment notes. They were rigged to explode when the mailbox was opened. Only six of the seven devices rigged in this manner detonated.,0,0,0,0.875,0,1,3,Minor (likely < $1 million),,Mailboxes were damaged in the attacks.,,"?Crime: Pipe Bombs Strike Mailboxes in Midwest,? Facts on File World News Digest, May 15, 2002.","?Student, 21, Is Arrested in Nevada in 5-State Bombing Spree.? New York Times? May 8, 2002.","?More pipe bombs found in mailboxes throughout Midwest,? ABC News, May 6, 2002.",CETIS
2002,5,3,Illinois,Morrison,41.809751,-89.965119,,"05/03/2002: Between the dates of May 3-7, 2002 eighteen pipe bombs were found in rural mailboxes in five Midwestern states in the U.S.A. collectively causing seven injuries and leading to widespread panic in the region. In the set incidents that occurred on May 3, 2002, seven nearly identical bombs were found by mail carriers and residents in or near mailboxes between 10:49am and 2:30pm in eastern Iowa and western Illinois, including this one in Illinois. Six of the seven bombs detonated, injuring four mail carriers and two residents. Each of the bombs had a note in a plastic bag, which stated, ""I'm obtaining your attention in the only way I can .... more attention-getters are on the way."" On May 7, 2002, the FBI and Nevada state authorities arrested Luke Helder, a 21-year-old college student, who confessed to being responsible for all of the bombs.",1,1,0,3,Bombing/Explosion,,.,14,Private Citizens & Property,67,Unnamed Civilian/Unspecified,Civilians,Civilians in the United States Midwest,217,United States,2,Government (General),,.,U.S. Postal Service,US Mail Boxes,217,United States,,.,,.,,,,.,Unaffiliated Individual(s),The attacks were meant to bring attention to the perpetrator's antigovernment sentiment.,1,6,Explosives/Bombs/Dynamite,10,Pressure Trigger,,.,,.,,.,,.,,.,,.,The pipe bombs were assembled with steel pipes and attached to nine-volt batteries and most were accompanied by antigovernment notes. They were rigged to explode when the mailbox was opened. Only six of the seven devices rigged in this manner detonated.,0,0,0,0.875,0,1,3,Minor (likely < $1 million),,Mailboxes were damaged in the attacks.,,"?Crime: Pipe Bombs Strike Mailboxes in Midwest,? Facts on File World News Digest, May 15, 2002.","?Student, 21, Is Arrested in Nevada in 5-State Bombing Spree.? New York Times? May 8, 2002.","?More pipe bombs found in mailboxes throughout Midwest,? ABC News, May 6, 2002.",CETIS
1999,7,3,Illinois,Springfield,39.801055,-89.643604,,"07/03/1999: Perpetrator, Benjamin Nathaniel Smith, shot and injured an individual in Springfield, Illinois, U.S.A. Smith, an avowed white supremacists and member of the Christian Identity church, World Church of the Creator, injured a total of nine people and killed two in his three day shooting spree.  As the police closed in on Smith, he committed suicide.",1,1,0,2,Armed Assault,,.,14,Private Citizens & Property,71,Race/Ethnicity Identified,Minority,Minority,217,United States,,.,,.,,,,.,,.,,.,,,,.,World Church of the Creator,Unknown,1,5,Firearms,3,Handgun,,.,,.,,.,,.,,.,,.,,0,0,1,1,0,0,,.,,,,"FBI ""Terrorism in the United States 1999"". Counterterrorism Threat Assessment and Warning Unit, Counterterrorism Division. U.S. Department of Justice, Federal Bureau of Investigation.","Bill Hemmer, Lisa Price and Jeff Flock ""Midwest Shootings: Suspect Dead."" CNN MORNING NEWS, July 5, 1999.",,CETIS
1996,8,31,Tennessee,Piperton,35.04819,-89.620111,"at RusDun Farms Inc. in Piperton, Tennessee","8/31/1996: The Animal Liberation Front (ALF) claimed responsibility for planting four incendiary devices in trucks and the loading dock area of the RusDun Farms Inc. in Piperton, Tennessee in the United States. Only one of the firebombs ignited, causing damage to one of the trucks.  The group also said that they sabotaged warehouse air conditioner units.  The extent of monetary property damage is unknown.  There were no casualties in the incident.  ALF sent out a communiqu? by fax to various news organizations, stating the group committed the attack on ''behalf of more than a half-million chickens imprisoned and in forced labor at the factory farm.''",0,1,0,7,Facility/Infrastructure Attack,,.,1,Business,9,Farm/Ranch,RusDun Farms Inc.,"egg farm in Piperton, TN",217,United States,,.,,.,,,,.,,.,,.,,,,.,Animal Liberation Front (ALF),"The perpetrators committed the incident on ""behalf of more than a half-million chickens imprisoned and in forced labor at the factory farm.''",-99,8,Incendiary,20,Gasoline or Alcohol,,.,,.,,.,,.,,.,,.,,0,0,0,0,0,1,4,Unknown,,one truck damaged,,"Tom Charlier, ""Fayette Egg Farm Firebombed; Animal Rights Group Takes Responsibility,"" The Commercial Appeal, September 1, 1996.",,,Eco Project 2010
1999,10,27,Wisconsin,Madison,43.076592,-89.412488,,"10/27/1999: Four researchers, working with primates at the Wisconsin National Primate Research Center, at the University of Wisconsin in Madison, Wisconsin in the United States, received booby-trapped letters in envelopes containing razor blades.  There were no injuries in the incident.  These letters were part of an 80-letter razor-blade campaign, claimed by the animal rights group, The Justice Department.  The group targeted scientists, many specifically from Regional Primate Centers across America, who were conducting AIDS and cancer-related research on non-human primates, and the group was against the use of primates for laboratory tests.  A communiqu? claiming the incident was posted on both The Justice Department's  website as well as that of the Animal Liberation Front (ALF).  The communiqu? listed eight researchers from the University of Wisconsin, but only four letters had been found.  Not all of the letters, which also contained diagrams of simple homemade bombs and threats demanding the researchers release the animals and leave the vivisection industry, were confirmed or reported by researchers.  The letters were postmarked from Las Vegas, Nevada and were allegedly sent out on October 25.",1,0,0,8,Unarmed Assault,,.,8,Educational Institution,48,Teacher/Professor/Instructor,at the Wisconsin National Primate Research Center at the University of Wisconsin-Madison,four research scientists at the Wisconsin National Primate Research Center at the University of Wisconsin-Madison,217,United States,,.,,.,,,,.,,.,,.,,,,.,The Justice Department,The group wanted an end to the vivisection industry and the cessation of the use of primates for lab testing and research,-99,12,Other,,.,,.,,.,,.,,.,,.,,.,letters in envelopes rigged with utility razor blades affixed to index cards,0,0,0,0,0,0,,.,,,"This was one in a series of 11 incidents (102599a-k) which constituted an 80-letter razor-blade campaign, claimed by the animal rights group, The Justice Department.  The group targeted scientists, many specifically from Regional Primate Centers across America, who were conducting AIDS and cancer-related research on non-human primates, and the group was against the use of primates for laboratory tests. The letters were postmarked from Las Vegas, Nevada with no return addresses and were placed in white envelopes with razor blades inside.  Not all of the letters were confirmed.  The Justice Department is an animal rights group, much like the Animal Liberation Front (ALF).  The group was also active in Canada and England (where it was initially based).  The Justice Department also committed a razor blade campaign in August 1999 against the fur industry. Though most sources state that 80 letters were sent out, the group claimed it was over 80 letters, and some sources note as many as 87 letters.","Sarah Wyatt, ""UW primate scientists get booby-trapped letters from animal rights group,"" Associated Press State & Local Wire, October 27, 1999.","Alison Schneider, ""Animal-Rights Group Sends Booby-Trapped Letters to Dozens of Researchers, The Chronicle of Higher Education, November 5, 1999.","""Animal Rights Group Mails Razor Blades To Medical Researchers, Says Foundation for Biomedical Research; Group Warns of Wave of Violence If Primate Research Is Not Halted,"" PR Newswire, October 25, 1999.",Eco Project 2010
2014,3,18,Mississippi,Hattiesburg,31.32747,-89.327765,,"03/18/2014: Assailants opened fire on the Hattiesburg Islamic Center in Hattiesburg, Mississippi, United States. There were no reported casualties in the attack. No group claimed responsibility for the incident.",0,1,0,2,Armed Assault,,.,15,Religious Figures/Institutions,86,Place of Worship,Hattiesburg Islamic Center,Mosque,217,United States,,.,,.,,,,.,,.,,.,,,,.,Unknown,,-99,5,Firearms,5,Unknown Gun Type,,.,,.,,.,,.,,.,,.,,0,0,0,0,0,1,3,Minor (likely < $1 million),-99,An unknown number of doors and windows were damaged in this attack.,,"""Shots fired into Hattiesburg Islamic center; no one hurt,"" The Clarion-Ledger, March 20, 2014.",,,START Primary Collection
1999,7,3,Illinois,Decatur,39.845845,-88.952459,,"07/03/1999: Perpetrator, Benjamin Nathaniel Smith, shot and injured an African Minister in Decatur, Illinois, U.S.A. Smith, an avowed white supremacists and member of the Christian Identity church, World Church of the Creator, injured a total of nine people and killed two in his three day shooting spree.  As the police closed in on Smith, he committed suicide.",1,1,0,2,Armed Assault,,.,15,Religious Figures/Institutions,85,Religious Figure,African American Citizen,Minister,217,United States,,.,,.,,,,.,,.,,.,,,,.,World Church of the Creator,Unknown,1,5,Firearms,3,Handgun,,.,,.,,.,,.,,.,,.,,0,0,1,1,0,0,,.,,,,"FBI ""Terrorism in the United States 1999"". Counterterrorism Threat Assessment and Warning Unit, Counterterrorism Division. U.S. Department of Justice, Federal Bureau of Investigation.","Bill Hemmer, Lisa Price and Jeff Flock ""Midwest Shootings: Suspect Dead."" CNN MORNING NEWS, July 5, 1999.",,CETIS
2015,11,1,Mississippi,Tupelo,34.308638,-88.709435,The incident occurred on North Gloster street.,"11/01/2015: An assailant threw an explosive device at a Walmart in Tupelo city, Mississippi, United States. There were no reported casualties in the blast. An individual, identified as Marshall E. Leonard, claimed responsibility for the incident. Sources posited that Leonard targeted the Walmart because it stopped selling Mississippi state flags containing the Confederate flag symbol.",0,1,0,3,Bombing/Explosion,,.,1,Business,7,Retail/Grocery/Bakery,Walmart,Store,217,United States,,.,,.,,,,.,,.,,.,,,,.,Unaffiliated Individual(s),"The specific motive is unknown; however, sources posited that Marshall E. Leonard targeted the Walmart because it stopped selling Mississippi state flags containing the Confederate flag symbol.",1,6,Explosives/Bombs/Dynamite,17,Other Explosive Type,,.,,.,,.,,.,,.,,.,A homemade explosive device wrapped in newspaper was used in the attack.,0,0,0,0,0,-9,,.,,It is unknown if any property was damaged in this attack.,,"""Confederate-Flag Sympathizer Tries to Bomb Mississippi Walmart for Being 'Anti-American' Fortunately, the homemade device fizzled out in the lobby.,"" New York Magazine, November 3, 2015.","""Mississippi Flag Supporter Arrested For Detonating Bomb At Walmart Store,"" International Business Times, November 3, 2015.","""Mississippi Flag Supporter Accused of Bombing Walmart,"" Newser, November 3, 2015.",START Primary Collection
2001,11,5,Michigan,Houghton,47.12186,-88.570024,,"11/05/2001: Ian Jacob Wallace, acting on behalf of the Earth Liberation Front (ELF) attempted to destroy two forestry buildings at the Michigan Technological University campus by planting two firebombs, made of combustible liquids, ignition sources and timers, outside the buildings. In this case the building targeted was the U.J. Noblet Forestry Building. There were no casualties in the incident, nor damages as the devices were found unexploded because the timers failed to trigger the bombs to ignite. The devices were subsequently defused by authorities. The motive was to ""destroy tree research and intimidate the public.""  Wallace pleaded guilty in 2008 to charges for this incident, and was sentenced in 2009, to three years in Federal prison.",1,0,0,7,Facility/Infrastructure Attack,,.,8,Educational Institution,49,School/University/Educational Building,Michigan Technological University,U.J. Noblet Forestry Building,217,United States,,.,,.,,,,.,,.,,.,,,,.,Earth Liberation Front (ELF),"The buildings were being used for researching the genetic engineering of plants, which Wallace believed was detrimental to the environment, and he wanted to deter government agencies and others from supporting this type of research.",1,8,Incendiary,20,Gasoline or Alcohol,,.,,.,,.,,.,,.,,.,"An incendiary device made of combustible liquids, ignition sources and timing device",0,0,0,0,0,0,,.,,,"Wallace had an accomplice who traveled with him to Houghton to commit the attack, but this person is unknown.","Eric Lindquist, ""Former honor student turns eco-terrorist,"" The Leader-Telegram, October 4, 2009.","""Information Issued by U.S. Attorney's Office for the Western District of Michigan on March 27: Sentencing in 2001 Eco-Terrorism Attempt at Michigan Technological University,"" US Fed News, April 13, 2009.",""" N.Y. Student gets 3 years in prison for eco-crime,"" Associated Press State & Local Wire, March 23, 2009.",Eco Project 2010
2001,11,5,Michigan,Houghton,47.117051,-88.544531,,"11/05/2001: Ian Jacob Wallace, acting on behalf of the Earth Liberation Front (ELF) attempted to destroy two forestry buildings at the Michigan Technological University campus by planting two firebombs, made of combustible liquids, ignition sources and timers, outside the buildings. In this case, the building targeted was the U.S. Forest Service Engineering Laboratory. There were no casualties in the incident, nor damages as the devices were found unexploded because the timers failed to trigger the bombs to ignite. The devices were subsequently defused by authorities. The motive was to ""destroy tree research and intimidate the public.""  Wallace pleaded guilty in 2008 to charges for this incident, and was sentenced in 2009, to three years in Federal prison.",1,0,0,7,Facility/Infrastructure Attack,,.,8,Educational Institution,49,School/University/Educational Building,Michigan Technological University,U.S. Forest Service Engineering Laboratory,217,United States,,.,,.,,,,.,,.,,.,,,,.,Earth Liberation Front (ELF),"The buildings were being used for researching the genetic engineering of plants, which Wallace believed was detrimental to the environment, and he wanted to deter government agencies and others from supporting this type of research.",1,8,Incendiary,20,Gasoline or Alcohol,,.,,.,,.,,.,,.,,.,"An incendiary device made of combustible liquids, ignition sources and timing device",0,0,0,0,0,0,,.,,,"Wallace had an accomplice who traveled with him to Houghton to commit the attack, but this person is unknown.","Eric Lindquist, ""Former honor student turns eco-terrorist,"" The Leader-Telegram, October 4, 2009.","""Information Issued by U.S. Attorney's Office for the Western District of Michigan on March 27: Sentencing in 2001 Eco-Terrorism Attempt at Michigan Technological University,"" US Fed News, April 13, 2009.",""" N.Y. Student gets 3 years in prison for eco-crime,"" Associated Press State & Local Wire, March 23, 2009.",Eco Project 2010
2012,4,1,Wisconsin,Grand Chute,44.281591,-88.438409,The incident occurred approximately 2 miles northwest of Appleton,"04/01/2012: An assailant set fire to a Planned Parenthood clinic in Grand Chute town, Wisconsin, United States. There were no casualties, and the clinic reopened two days later. Francis Grady claimed responsibility for this attack.",0,1,0,7,Facility/Infrastructure Attack,,.,5,Abortion Related,40,Clinics,"Planned Parenthood Federation of America, Inc.",Facility,217,United States,,.,,.,,,,.,,.,,.,,,,.,Unaffiliated Individual(s),"The specific motive is unknown; however, sources noted that the attacker, Francis Grady, self-identified as pro-life and had previously protested multiple times in front of the targeted Planned Parenthood clinic.",1,8,Incendiary,20,Gasoline or Alcohol,,.,,.,,.,,.,,.,,.,Gasoline was used in the attack.,0,0,0,0,0,1,3,Minor (likely < $1 million),-99,A window of a Planned Parenthood facility was damaged in this attack.,"In July, 2012, Francis Grady was tried and convicted for perpetrating this attack.","""Grand Chute man found guilty in arson fire of Planned Parenthood clinic,"" Associated Press Newswires, July 9, 2012.","""Trial to begin for Kaukauna man accused of arson at Planned Parenthood clinic in Grand Chute,"" Associated Press Newswires, July 7, 2012.","""Federal trial set for Grand Chute man charged with setting Planned Parenthood clinic fire,"" Associated Press Newswires, April 19, 2012.",START Primary Collection
2015,7,19,Illinois,Aurora,41.758165,-88.239197,,"07/19/2015: Assailants attempted to set fire to a Planned Parenthood facility in Aurora, Illinois, United States. There were no reports of casualties or property damage in the attack. No group claimed responsibility for the incident.",0,0,0,7,Facility/Infrastructure Attack,,.,5,Abortion Related,40,Clinics,"Planned Parenthood Federation of America, Inc.",Clinic,217,United States,,.,,.,,,,.,,.,,.,,,,.,Unknown,,-99,8,Incendiary,18,Arson/Fire,,.,,.,,.,,.,,.,,.,,0,0,0,0,0,0,,.,,,,"""BRIEF: FBI investigating fire outside   Aurora Planned Parenthood   facility,"" The Beacon-News,, July 29, 2015.","""NARAL Wants Attacks on Abortion Clinics Investigated as Domestic Terrorism,"" Slate Magazine, October 19, 2015.",,START Primary Collection
1999,3,31,Wisconsin,Waukesha,43.014423,-88.235513,Fire ignited near window,"3/31/1999: Peter Quinn broke into the Planned Parenthood clinic in Waukesha, Wisconsin, United States, through a window and ignited a fire.  There were no casualties, but the fire caused $400 in damages to the health care facility.",0,1,0,7,Facility/Infrastructure Attack,2,Armed Assault,5,Abortion Related,40,Clinics,Planned Parenthood,"Planned Parenthood clinic in Waukesha, Wisconsin",217,United States,,.,,.,,,,.,,.,,.,,,,.,Anti-Abortion Activists,To protest the practice of abortion and to sabotage abortion facilities operating in Wisconsin.,1,8,Incendiary,20,Gasoline or Alcohol,9,Melee,21,Blunt Object,,.,,.,,.,,.,Perpetrator broke through window with a baseball bat and poured liquid fluid on a fireplace log and lit it on fire,0,0,0,0,0,1,3,Minor (likely < $1 million),400,Window shattered and the area around the window was damaged by fire.,"The Planned Parenthood clinic did not perform abortions.  Peter Quinn broke into the building at 12:05 am.  Firefighters. were able to respond quickly because Quinn set off the building's alarm system.  Three days earlier, Quinn ignited a fire at an abortion clinic in nearby Milwaukee (199903280010).","""Investigators Probe Attempted Arson at Planned Parenthood Clinic,"" Associated Press, April 1, 1999.","""A Teen-Ager Who Faces Charges of Arson and Vandalism In?,"" Associated Press, May 11, 1999.","""Teen Won't Go To Trial in Clinic Arson Cases,"" Milwaukee Journal Sentinel, February 11, 2000.",Anti-Abortion Project 2010
1997,4,8,Illinois,Urbana,40.11727,-88.204489,,,0,0,0,1,Assassination,,.,2,Government (General),14,Judge/Attorney/Court,,judge,217,United States,,.,,.,,,,.,,.,,.,,,,.,Unknown,,1,8,Incendiary,,.,8,Incendiary,18,Arson/Fire,,.,,.,,.,,.,Incendiary; Fure bomb,0,,0,,,1,,.,,,,,,,PGIS
2012,8,12,Illinois,Lombard,41.880028,-88.007845,,"08/12/2012: Assailants threw an explosive device containing acid and other chemicals at the College Preparatory School of America, an Islamic school, in Lombard, Illinois, United States. There were no casualties or property damage reported in this incident. No group claimed responsibility for this attack.",0,1,0,3,Bombing/Explosion,,.,8,Educational Institution,49,School/University/Educational Building,College Preparatory School of America,Islamic School,217,United States,,.,,.,,,,.,,.,,.,,,,.,Unknown,,-99,6,Explosives/Bombs/Dynamite,17,Other Explosive Type,,.,,.,,.,,.,,.,,.,A thrown homemade bomb containing acid and other chemicals was used in the attack.,0,0,0,0,0,1,3,Minor (likely < $1 million),-99,A building was damaged in this attack.,,"""Police in suburban Chicago probing attack on Islamic school,"" Reuters News, August 13, 2012.","""Air   rifle shots fired   at mosque north of Chicago,"" The Associated Press State & Local Wire, August 11, 2012.","""Homemade bomb goes off outside Muslim school,"" Chicago Daily Herald, August 14, 2012.",START Primary Collection
1999,8,11,Wisconsin,Plymouth,43.748829,-87.977206,Near Plymouth,"08/11/1999: The Animal Liberation Front (ALF) claimed responsibility for setting a fire that destroyed United Feeds, a Sheboygan County mink feed mill near Plymouth, Wisconsin, U.S.A.. The perpetrators also released 2,000 mink at a nearby mink farm in a related attack.",0,1,0,7,Facility/Infrastructure Attack,,.,1,Business,5,Industrial/Textiles/Factory,United Feeds,"A United Feeds mill near Plymouth, Wisconsin",217,United States,,.,,.,,,,.,,.,,.,,,,.,Animal Liberation Front (ALF),Unknown,,8,Incendiary,18,Arson/Fire,,.,,.,,.,,.,,.,,.,,0,0,0,0,0,1,2,Major (likely > $1 million but < $1 billion),1500000,The feed mill was destroyed.,,"Ryan Slabaugh, ?Animal rights group claims it burned mill: McCallum calls for coordination against terrorism,? Milwaukee Journal Sentinel, August 12, 1999.",,,CETIS
